BuildingType,PrimaryPropertyType,ZipCode,Neighborhood,Building_age,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,LargestPropertyUseTypeGFA,%_LargestPropertyUseType,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,SourceEUI(kBtu/sf),%_GFAParking,%_GFABuilding,Nb_PropertyUseTypes
NonResidential,Worship Facility,98103.0,NORTHWEST,94,1.0,2,21022,Worship Facility,21022.0,1.0,945245.625,0.0,137902.0,807343.0,43.84,60.90000153,0.0,1.0,1
NonResidential,Distribution Center,98118.0,GREATER DUWAMISH,49,1.0,1,48001,Distribution Center,48001.0,1.0,2143650.75,0.0,593580.0,1550071.0,86.46,72.69999695,0.0,1.0,1
NonResidential,Warehouse,98118.0,GREATER DUWAMISH,47,1.0,1,37351,Non-Refrigerated Warehouse,29551.0,0.7911702497925089,2559461.75,0.0,1276462.0,1283000.0,77.04,136.8999939,0.0,1.0,2
NonResidential,Warehouse,98118.0,GREATER DUWAMISH,35,1.0,1,30375,Non-Refrigerated Warehouse,30375.0,1.0,345866.6875,0.0,345867.0,0.0,2.41,35.79999924,0.0,1.0,1
NonResidential,Worship Facility,98117.0,BALLARD,102,1.0,2,33589,Worship Facility,33589.0,1.0,509836.1875,0.0,111626.0,398210.0,21.93,22.89999962,0.0,1.0,1
NonResidential,Small- and Mid-Sized Office,98107.0,BALLARD,37,1.0,3,43500,Office,43495.0,0.9998850574712643,3220635.25,0.0,3216396.0,4239.0,22.65,232.3000031,0.0,1.0,1
NonResidential,Small- and Mid-Sized Office,98107.0,BALLARD,38,1.0,2,28492,Office,28492.0,1.0,1896298.875,0.0,1363957.0,532342.0,37.78,169.8999939,0.0,1.0,1
NonResidential,Retail Store,98144.0,DOWNTOWN,99,1.0,2,147545,Retail Store,147545.0,1.0,6787070.0,0.0,4133510.0,2653559.0,169.75,106.9000015,0.0,1.0,1
NonResidential,Small- and Mid-Sized Office,98121.0,DOWNTOWN,42,1.0,5,61825,Office,37993.0,0.6145248685806712,4322873.0,0.0,1915699.0,2407174.0,141.2,205.6999969,0.21544682571775173,0.7845531742822482,2
NonResidential,Small- and Mid-Sized Office,98121.0,DOWNTOWN,74,1.0,3,64630,Office,64630.0,1.0,1408291.375,0.0,1408291.0,0.0,9.82,68.40000153,0.0,1.0,1
NonResidential,Worship Facility,98121.0,DOWNTOWN,68,1.0,2,20920,Worship Facility,20920.0,1.0,1042108.5,0.0,285047.0,757062.0,42.19,80.80000305,0.0,1.0,1
NonResidential,Worship Facility,98116.0,SOUTHWEST,90,1.0,2,22128,Worship Facility,22128.0,1.0,608359.6875,0.0,153306.0,455054.0,25.24,43.29999924,0.0,1.0,1
NonResidential,Retail Store,98133.0,NORTHWEST,48,1.0,1,48139,Retail Store,40000.0,0.8309271069195455,859236.625,0.0,468402.0,390834.0,24.02,47.0,0.0,1.0,1
NonResidential,Worship Facility,98116.0,SOUTHWEST,67,1.0,2,21364,Worship Facility,15364.0,0.7191537165324845,965651.125,0.0,162220.0,803431.0,43.8,63.29999924,0.0,1.0,2
NonResidential,Retail Store,98105.0,NORTHEAST,20,1.0,1,25735,Retail Store,25691.0,0.9982902661744706,1169394.875,0.0,953695.0,215700.0,18.1,125.4000015,0.0,1.0,1
NonResidential,Retail Store,98105.0,NORTHEAST,60,1.0,2,25862,Retail Store,25562.0,0.9883999690665842,4801472.0,0.0,2185523.0,2615949.0,154.17,371.6000061,0.0,1.0,2
NonResidential,Retail Store,98105.0,NORTHEAST,13,1.0,2,49965,Retail Store,47465.0,0.949964975482838,3377209.75,0.0,3247196.0,130013.0,29.54,206.8000031,0.0,1.0,2
NonResidential,Small- and Mid-Sized Office,98104.0,DOWNTOWN,87,1.0,2,20028,Office,20028.0,1.0,511797.4063,151742.5,360055.0,0.0,14.22,65.59999847,0.0,1.0,1
NonResidential,Small- and Mid-Sized Office,98104.0,DOWNTOWN,116,1.0,7,23622,Office,26195.0,1.1089238845144358,552007.5,0.0,419848.0,132159.0,9.95,51.20000076,0.0,1.0,2
NonResidential,Small- and Mid-Sized Office,98104.0,DOWNTOWN,114,1.0,3,23563,Office,20183.0,0.8565547680685821,883197.6875,0.0,883198.0,0.0,6.16,117.6999969,0.0,1.0,2
NonResidential,Mixed Use Property,98104.0,DOWNTOWN,38,1.0,2,38539,Retail Store,15549.0,0.4034614286826332,2186018.5,0.0,2186018.0,0.0,15.24,262.3999939,0.3212070889229093,0.6787929110770907,3
NonResidential,Small- and Mid-Sized Office,98104.0,DOWNTOWN,110,1.0,5,26840,Office,29040.0,1.0819672131147542,1989287.0,0.0,1989287.0,0.0,13.87,215.1000061,0.0,1.0,1
NonResidential,Retail Store,98104.0,DOWNTOWN,110,1.0,2,46800,Retail Store,36019.0,0.7696367521367521,1245187.5,0.0,1245187.0,0.0,8.68,83.5,0.0,1.0,2
NonResidential,Small- and Mid-Sized Office,98104.0,DOWNTOWN,37,1.0,3,63990,Office,39000.0,0.6094702297233943,2067352.5,0.0,2062620.0,4732.0,14.63,166.1999969,0.41631504922644164,0.5836849507735584,2
NonResidential,Small- and Mid-Sized Office,98121.0,DOWNTOWN,108,1.0,3,28800,Office,21600.0,0.75,1345025.75,0.0,923904.0,421122.0,28.81,95.5,0.0,1.0,3
NonResidential,Small- and Mid-Sized Office,98121.0,DOWNTOWN,62,1.0,3,33552,Office,26556.0,0.7914878397711016,1696978.75,0.0,643674.0,1053305.0,60.43,117.8000031,0.148068669527897,0.851931330472103,2
NonResidential,Retail Store,98121.0,DOWNTOWN,85,1.0,2,26270,Retail Store,26270.0,1.0,1560461.75,0.0,1064100.0,496361.0,33.78,147.0,0.0,1.0,1
NonResidential,Small- and Mid-Sized Office,98121.0,DOWNTOWN,90,1.0,3,57620,Office,49800.0,0.8642832349878514,2385395.0,0.0,2385395.0,0.0,16.63,150.3999939,0.13571676501214855,0.8642832349878514,2
NonResidential,Hotel,98121.0,DOWNTOWN,26,1.0,5,57800,Hotel,57800.0,1.0,2443065.25,0.0,1375435.0,1067630.0,66.29,94.09999847,0.0,1.0,1
NonResidential,Other,98101.0,DOWNTOWN,61,1.0,2,31890,Financial Office,31160.0,0.9771088115396676,1858224.625,0.0,1858224.0,0.0,12.95,187.3000031,0.0,1.0,1
NonResidential,Small- and Mid-Sized Office,98101.0,DOWNTOWN,91,1.0,2,44098,Office,25920.0,0.5877817588099233,1441900.5,450522.3125,991378.0,0.0,41.69,141.0,0.3097646151752914,0.6902353848247086,2
NonResidential,Medical Office,98121.0,DOWNTOWN,64,1.0,4,26670,Medical Office,26670.0,1.0,1553208.375,0.0,1553175.0,33.0,10.83,182.8999939,0.0,1.0,1
NonResidential,Hotel,98121.0,DOWNTOWN,49,1.0,4,44416,Hotel,52668.0,1.1857889048991355,2669564.25,0.0,1495543.0,1174021.0,72.78,112.5999985,0.0,1.0,1
NonResidential,Worship Facility,98103.0,Northwest,88,1.0,2,45991,Worship Facility,45991.0,1.0,1145535.75,0.0,529029.0,616507.0,36.43,50.20000076,0.0,1.0,1
NonResidential,Residence Hall,98105.0,NORTHEAST,95,1.0,3,21499,Residence Hall/Dormitory,21499.0,1.0,605130.6875,0.0,605130.0,0.0,4.22,88.40000153,0.0,1.0,1
